idinteraccion,idorigen,tipoorigen,iddestino,tipodestino,tipointeraccion,valorinteraccion,idprecedente,idcurso,fecha,plataforma
1133,388,alumno,71,alumno,mencion,@id,1035,4,2011-04-06 10:00:02.425,facebook
1134,619,alumno,460,alumno,mensaje,Qui laborum ab rerum est sit accusantium voluptatum quibusdam ratione ut dolorem maxime sequi quod at.,1046,4,2011-03-27 12:39:43.936,crea
1135,321,alumno,-1,null,publicacion,Ipsam reprehenderit sunt quia alias praesentium et veritatis quibusdam quo voluptates eveniet assumenda ratione eveniet.,-1,4,2011-03-04 16:45:36.881,crea
1136,518,alumno,-1,null,publicacion,Nisi sed recusandae excepturi non quibusdam vel quo sint et consequatur sapiente sit quisquam aut fugiat quaerat doloremque nemo.,-1,4,2011-01-30 05:12:55.493,crea
1137,0,docente,3,alumno,mensaje,Tenetur velit voluptatem minima similique eos sunt et saepe dolores ratione nisi porro rerum et debitis repellendus quae odio velit.,-1,4,2011-04-26 07:25:25.99,crea
1138,0,docente,0,docente,reaccion,me_asombra,1119,4,2011-01-26 06:32:11.549,facebook
1139,321,alumno,539,alumno,mencion,@molestiae,1006,4,2011-05-02 04:25:15.634,facebook
1140,0,docente,-1,null,publicacion,Suscipit culpa aut accusantium inventore aut quia saepe blanditiis esse suscipit ipsam laborum officiis error.,-1,4,2011-03-22 08:34:40.909,facebook
1141,211,alumno,3,alumno,mencion,@id,1012,4,2011-04-09 01:06:56.452,facebook
1142,445,alumno,111,material,consulta,null,-1,4,2011-05-05 12:19:53.067,facebook
1143,191,alumno,388,alumno,comentario,Sapiente et eos est et non tenetur dignissimos a aut cum.,1133,4,2011-02-26 13:53:16.52,crea
1144,191,alumno,445,alumno,mensaje,At facere et ut officiis incidunt ratione voluptatibus neque similique tempora sit accusamus velit enim explicabo et.,-1,4,2011-05-24 11:28:47.95,crea
1145,308,alumno,71,alumno,comentario,Architecto eveniet voluptatem tempore dolores id perspiciatis est qui est.,1053,4,2011-04-23 09:38:22.957,crea
1146,518,alumno,339,alumno,mensaje,Possimus eveniet aliquam esse veniam itaque consequuntur inventore esse aspernatur tenetur vel cupiditate eligendi autem magni quia explicabo dignissimos rerum nemo.,-1,4,2011-04-15 18:40:34.789,crea
1147,71,alumno,445,alumno,mensaje,Ex ex occaecati adipisci necessitatibus natus ex ratione labore deleniti voluptates et reiciendis consectetur rerum.,1134,4,2011-03-24 21:33:57.774,crea
1148,71,alumno,120,material,consulta,null,-1,4,2011-05-07 13:03:39.99,crea
1149,279,alumno,121,material,consulta,null,-1,4,2011-02-17 07:53:53.296,facebook
1150,211,alumno,460,alumno,mencion,@voluptatibus,1004,4,2011-04-19 17:48:08.353,facebook
1151,127,alumno,110,material,consulta,null,-1,4,2011-03-23 23:53:30.969,facebook
1152,279,alumno,160,alumno,mencion,@voluptatem,1124,4,2011-05-08 01:00:03.763,facebook
1153,523,alumno,211,alumno,mencion,@ipsa,1024,4,2011-05-18 10:21:23.546,facebook
1154,136,alumno,539,alumno,reaccion,me_encanta,1098,4,2011-04-08 11:22:23.083,facebook
1155,0,docente,187,alumno,mensaje,In molestiae omnis omnis sapiente aperiam sequi corporis dolor et et sit maiores animi expedita voluptate iusto delectus officiis.,1105,4,2011-03-12 21:34:09.838,crea
1156,160,alumno,160,alumno,comentario,Nemo eos perferendis a harum voluptatem in molestias quod nulla id recusandae quo aut.,1124,4,2011-05-15 23:49:45.469,facebook
1157,34,alumno,539,alumno,mensaje,Ea ipsam atque dolorem qui perspiciatis perspiciatis fuga ea repellendus et quibusdam rerum sed eaque dolorem nisi.,1146,4,2011-04-01 16:56:19.064,crea
1158,160,alumno,460,alumno,mencion,@aut,1004,4,2011-05-16 13:10:12.917,facebook
1159,71,alumno,-1,null,publicacion,Qui rerum accusamus voluptates molestiae quam molestias mollitia laudantium at possimus molestiae rerum hic atque.,-1,4,2011-04-10 19:12:09.356,crea
1160,0,docente,-1,null,publicacion,Animi iusto nostrum autem quia doloremque et corrupti excepturi ab modi aliquid voluptas nisi est ex officia doloribus voluptas.,-1,4,2011-02-11 12:33:31.234,facebook
1161,279,alumno,-1,null,publicacion,Dicta omnis doloremque aut officiis sit et consectetur fuga quae reiciendis mollitia temporibus molestiae perferendis corrupti.,-1,4,2011-04-22 12:50:29.524,crea
1162,308,alumno,116,material,consulta,null,-1,4,2011-04-26 11:55:50.8,crea
1163,388,alumno,449,alumno,mensaje,Reprehenderit voluptas deleniti est incidunt amet occaecati nostrum perspiciatis commodi perferendis pariatur esse rem in et.,-1,4,2011-02-02 03:24:44.909,crea
1164,0,docente,211,alumno,mencion,@quam,1132,4,2011-03-09 08:02:52.743,facebook
1165,578,alumno,-1,null,publicacion,Perferendis quia dolores dolores voluptatum ut tenetur aut quod odit quod blanditiis velit velit recusandae expedita.,-1,4,2011-05-31 09:28:13.433,crea
1166,321,alumno,0,docente,reaccion,me_gusta,1023,4,2011-05-17 01:31:26.304,facebook
1167,0,docente,445,alumno,reaccion,me_divierte,1008,4,2011-02-20 01:55:56.217,facebook
1168,539,alumno,136,alumno,reaccion,me_enoja,1108,4,2011-04-21 11:59:35.614,facebook
1169,0,docente,71,alumno,comentario,Soluta ea vel asperiores in similique esse architecto odit sit voluptas qui sunt.,1159,4,2011-04-22 17:24:41.986,facebook
1170,403,alumno,-1,null,publicacion,A ut saepe aut ut aliquid tempora aspernatur iste voluptatem ut enim aut et sint velit.,-1,4,2011-01-24 17:49:54.279,crea
1171,191,alumno,126,material,consulta,null,-1,4,2011-03-02 06:22:06.722,facebook
1172,609,alumno,135,material,consulta,null,-1,4,2011-01-31 09:22:31.069,crea
1173,71,alumno,279,alumno,mensaje,Nihil velit sit officia ut accusantium sed doloremque voluptatem qui magnam nobis voluptate saepe dicta voluptatum alias.,1067,4,2011-03-05 21:50:06.016,crea
1174,321,alumno,187,alumno,mensaje,Rerum omnis molestias fuga qui consequatur et delectus modi quasi non et et quos maiores quas.,-1,4,2011-01-28 02:57:35.877,crea
1175,356,alumno,108,material,consulta,null,-1,4,2011-05-04 03:59:20.972,facebook
1176,0,docente,-1,null,publicacion,Suscipit necessitatibus et minus ex doloribus similique tempore ipsam voluptate veritatis reiciendis quo aut commodi explicabo et.,-1,4,2011-05-05 14:12:54.886,facebook
1177,3,alumno,539,alumno,comentario,Dolor aperiam laudantium quibusdam dolores a officiis amet distinctio magnam sed enim dolorem temporibus eos.,1058,4,2011-05-02 23:41:57.432,facebook
1178,191,alumno,-1,null,publicacion,Accusamus itaque nisi et dolor rem velit dolorem iste quae voluptatem reiciendis ab vero asperiores qui pariatur dolores ut incidunt excepturi.,-1,4,2011-03-02 08:56:30.435,facebook
1179,0,docente,279,alumno,mensaje,Dicta laborum sit ullam nisi nulla sint pariatur sed est nemo error qui quis qui asperiores aspernatur vel rerum.,-1,4,2011-01-16 08:30:05.49,crea
1180,523,alumno,0,docente,mensaje,Repudiandae consequatur nemo numquam non ut suscipit hic voluptas sed unde accusamus quidem molestiae sed quo.,1163,4,2011-04-09 09:28:06.846,crea
1181,539,alumno,211,alumno,comentario,Quo repudiandae quia veritatis qui iste voluptatem sapiente dolor accusantium architecto ut qui sed fugiat.,1132,4,2011-05-03 10:04:17.782,crea
1182,613,alumno,-1,null,publicacion,Eos id iste et ut beatae maiores est quia vitae sint est qui minus incidunt nam amet illo.,-1,4,2011-02-10 23:38:20.851,facebook
1183,0,docente,211,alumno,reaccion,me_asombra,1069,4,2011-02-04 05:15:45.057,facebook
1184,0,docente,42,alumno,comentario,Maiores quos earum qui voluptatem laudantium aut asperiores architecto praesentium nobis quibusdam.,1082,4,2011-05-28 19:30:36.997,crea
1185,403,alumno,539,alumno,reaccion,me_enoja,1098,4,2011-02-14 13:02:07.468,facebook
1186,539,alumno,0,docente,comentario,Deserunt nesciunt dignissimos eum nobis quas voluptatibus recusandae iste ipsum aliquid dignissimos in ea excepturi fuga.,1140,4,2011-02-06 10:25:59.185,facebook
1187,136,alumno,356,alumno,mensaje,Et quis earum non distinctio corrupti reprehenderit id cum alias eaque nobis nemo delectus sit.,-1,4,2011-03-20 22:13:47.196,crea
1188,356,alumno,71,alumno,mensaje,Mollitia ipsa nihil maiores vel eos soluta est rerum accusamus expedita necessitatibus ad est eos dolor sed ex est.,1107,4,2011-04-18 01:35:27.65,crea
1189,191,alumno,160,alumno,comentario,Reprehenderit consequatur suscipit consequatur similique iste dolorum ut vitae consequatur recusandae adipisci.,1070,4,2011-05-05 12:14:53.945,facebook
1190,403,alumno,0,docente,reaccion,me_gusta,1002,4,2011-04-21 16:25:15.841,facebook
1191,187,alumno,133,material,consulta,null,-1,4,2011-04-17 19:52:30.924,crea
1192,613,alumno,124,material,consulta,null,-1,4,2011-03-03 17:26:58.988,crea
1193,619,alumno,-1,null,publicacion,Dolorum doloremque et sunt est aut omnis ipsa illum ad quis eaque at et molestiae.,-1,4,2011-04-14 09:35:47.744,crea
1194,403,alumno,0,docente,comentario,Cum voluptatem nobis quod fuga nam vel delectus numquam omnis doloremque voluptatem sit dolorem voluptatem.,1169,4,2011-02-14 06:50:10.0,facebook
1195,279,alumno,0,docente,reaccion,me_gusta,1183,4,2011-02-20 12:37:41.112,facebook
1196,0,docente,-1,null,publicacion,Aliquam eaque et dolorum blanditiis quos molestiae non rem laudantium voluptatibus fugit et fugiat est est id ut similique architecto ducimus.,-1,4,2011-04-16 05:53:02.652,facebook
1197,518,alumno,-1,null,publicacion,Molestiae dolores qui nobis quia beatae hic distinctio consequuntur suscipit consequatur aut dolores ea ea nihil sed.,-1,4,2011-05-07 05:12:58.898,crea
1198,160,alumno,613,alumno,mencion,@occaecati,1049,4,2011-02-14 22:39:26.97,facebook
1199,34,alumno,0,docente,mencion,@est,1055,4,2011-02-23 19:56:21.647,facebook
1200,308,alumno,131,material,consulta,null,-1,4,2011-04-18 01:06:35.951,facebook
1201,187,alumno,308,alumno,mensaje,Minus debitis molestias voluptates consequuntur rerum repudiandae tempore nisi dignissimos nulla earum dolorem dignissimos quia est aut ut tempore consequatur quibusdam.,-1,4,2011-01-19 11:43:04.228,crea
1202,356,alumno,613,alumno,mensaje,Quia repellendus doloribus non incidunt consequatur molestiae ipsum at harum et optio aut quidem dignissimos.,1179,4,2011-03-05 11:08:05.9,crea
1203,0,docente,539,alumno,comentario,Tempore deserunt dolorum beatae nihil hic nemo sed at quas enim ducimus omnis.,1006,4,2011-03-08 23:43:43.608,facebook
1204,0,docente,460,alumno,mencion,@debitis,1074,4,2011-05-22 10:10:19.771,facebook
1205,539,alumno,613,alumno,comentario,Dolorem quo cupiditate rerum ullam in fugit voluptatum omnis autem nulla.,1182,4,2011-05-17 09:21:29.154,facebook
1206,619,alumno,132,material,consulta,null,-1,4,2011-01-18 02:52:06.063,facebook
1207,0,docente,71,alumno,mencion,@voluptas,1053,4,2011-02-28 19:57:18.039,facebook
1208,308,alumno,-1,null,publicacion,Est ratione suscipit atque in sapiente nostrum dolore qui recusandae officia amet deserunt velit facilis quo doloremque.,-1,4,2011-04-30 06:09:31.526,crea
1209,356,alumno,-1,null,publicacion,Blanditiis quas in quas rerum veritatis nihil omnis vitae et ad et sapiente non odio.,-1,4,2011-05-18 15:45:23.398,crea
1210,0,docente,539,alumno,mencion,@in,1098,4,2011-02-04 02:22:12.697,facebook
1211,619,alumno,113,material,consulta,null,-1,4,2011-02-04 21:27:04.033,crea
1212,578,alumno,609,alumno,reaccion,me_encanta,1126,4,2011-03-11 11:35:14.666,facebook
1213,34,alumno,518,alumno,mencion,@voluptate,1197,4,2011-04-20 05:10:03.941,facebook
1214,609,alumno,211,alumno,comentario,Sit cupiditate impedit voluptas sit non quis voluptatum qui aut.,1031,4,2011-03-27 01:15:22.882,facebook
1215,3,alumno,-1,null,publicacion,Excepturi repudiandae sapiente corporis tempore sed consectetur fugiat facilis et totam ipsum recusandae cum nostrum iusto.,-1,4,2011-05-28 06:27:15.151,facebook
1216,460,alumno,111,material,consulta,null,-1,4,2011-03-07 14:15:40.128,facebook
1217,187,alumno,117,material,consulta,null,-1,4,2011-05-05 10:39:20.937,facebook
1218,449,alumno,-1,null,publicacion,Aliquam quis id nihil aperiam quo rerum dolor quidem tempora voluptatem minima enim et voluptas labore quasi et quia tenetur.,-1,4,2011-04-15 17:34:28.243,crea
1219,0,docente,187,alumno,comentario,Odit et deserunt repellendus autem rerum numquam occaecati excepturi laboriosam.,1079,4,2011-01-23 00:12:08.24,facebook
1220,609,alumno,118,material,consulta,null,-1,4,2011-03-15 02:28:39.027,crea
1221,3,alumno,539,alumno,mensaje,Deserunt tempore omnis sed non et voluptate harum ipsam nemo voluptates voluptates maxime ut dolorem consequatur quia nihil pariatur repellat.,-1,4,2011-05-14 05:57:45.867,crea
1222,279,alumno,211,alumno,mencion,@suscipit,1069,4,2011-01-21 02:46:40.169,facebook
1223,388,alumno,109,material,consulta,null,-1,4,2011-03-04 07:28:32.899,facebook
1224,160,alumno,578,alumno,reaccion,me_encanta,1106,4,2011-02-15 02:30:12.732,facebook
1225,279,alumno,460,alumno,mencion,@fugit,1004,4,2011-02-01 09:27:55.316,facebook
1226,308,alumno,388,alumno,mencion,@tempore,1133,4,2011-02-11 13:49:54.717,facebook
1227,321,alumno,34,alumno,reaccion,me_encanta,1199,4,2011-05-05 14:29:13.121,facebook
1228,308,alumno,518,alumno,comentario,Placeat distinctio in est aut voluptatum voluptas provident beatae eius omnis et nihil.,1197,4,2011-02-28 19:14:41.968,crea
1229,42,alumno,403,alumno,comentario,Assumenda est non eius in soluta similique voluptas et nihil hic.,1170,4,2011-03-23 10:05:03.065,crea
1230,321,alumno,124,material,consulta,null,-1,4,2011-03-01 06:50:58.887,facebook
1231,3,alumno,133,material,consulta,null,-1,4,2011-02-18 09:24:49.92,facebook
1232,356,alumno,403,alumno,comentario,Velit amet aliquid et quia necessitatibus omnis commodi et aut sed.,1170,4,2011-05-05 05:43:34.755,facebook
1233,619,alumno,108,material,consulta,null,-1,4,2011-05-18 04:34:01.957,crea
1234,0,docente,0,docente,mensaje,Incidunt consequuntur perspiciatis magnam dolor sunt quibusdam voluptatem rerum dolor delectus praesentium architecto enim qui sit adipisci eos doloribus ipsa harum.,-1,4,2011-03-11 16:56:19.049,crea
1235,0,docente,460,alumno,mencion,@laudantium,1004,4,2011-02-11 14:50:37.352,facebook
1236,339,alumno,126,material,consulta,null,-1,4,2011-05-22 08:11:27.9,crea
1237,187,alumno,460,alumno,reaccion,me_gusta,1116,4,2011-05-27 02:28:25.12,facebook
1238,321,alumno,445,alumno,comentario,Quidem reiciendis amet et dolore ipsa qui beatae voluptas optio voluptatem quis minus in ex.,1008,4,2011-05-11 19:18:50.056,crea
1239,609,alumno,3,alumno,reaccion,me_encanta,1215,4,2011-03-30 16:42:12.586,facebook
1240,356,alumno,-1,null,publicacion,Sit aut aperiam eius ut et quisquam eaque rerum aut atque id quasi molestiae occaecati.,-1,4,2011-05-05 07:47:08.004,crea
1241,460,alumno,118,material,consulta,null,-1,4,2011-05-06 12:42:48.276,facebook
1242,388,alumno,0,docente,comentario,Maiores quia qui libero asperiores nihil non labore perferendis voluptas.,1055,4,2011-02-04 19:18:29.353,crea
1243,460,alumno,3,alumno,mencion,@quos,1016,4,2011-02-06 17:19:11.692,facebook
1244,518,alumno,131,material,consulta,null,-1,4,2011-02-02 21:02:19.666,facebook
1245,518,alumno,460,alumno,mencion,@sit,1004,4,2011-05-07 02:03:39.109,facebook
1246,211,alumno,0,docente,reaccion,me_entristece,1009,4,2011-03-06 20:14:11.377,facebook
1247,34,alumno,191,alumno,mensaje,Quidem ut ut rem nam consequuntur aut ratione dolorum amet asperiores accusamus id id praesentium.,-1,4,2011-03-05 02:52:12.329,crea
1248,42,alumno,132,material,consulta,null,-1,4,2011-05-18 01:20:57.124,crea
1249,613,alumno,109,material,consulta,null,-1,4,2011-01-24 03:33:37.297,crea
1250,616,alumno,-1,null,publicacion,Eos debitis et sunt fugiat tempora minus consequatur nostrum consequatur quas quaerat voluptatem et iure architecto nihil.,-1,5,2013-02-04 05:15:44.403,facebook
1251,548,alumno,150,material,consulta,null,-1,5,2013-04-27 03:17:19.617,crea
1252,343,alumno,-1,null,publicacion,Harum et sed quaerat sunt placeat velit a at esse optio voluptas et cumque modi in aspernatur doloremque.,-1,5,2013-04-08 07:54:11.095,facebook
1253,59,alumno,616,alumno,reaccion,me_divierte,1250,5,2013-02-03 06:41:49.282,facebook
1254,452,alumno,59,alumno,mencion,@aperiam,1253,5,2013-04-01 17:08:37.692,facebook
1255,59,alumno,-1,null,publicacion,Quia quia aut optio itaque nihil nulla dolor adipisci animi sit minus ut earum ratione odio et omnis.,-1,5,2013-04-22 11:29:49.073,facebook
1256,362,alumno,59,alumno,mencion,@rem,1255,5,2013-01-25 06:58:54.638,facebook
1257,616,alumno,136,material,consulta,null,-1,5,2013-03-08 03:12:04.759,facebook
1258,480,alumno,-1,null,publicacion,Repudiandae eum soluta dolor quam enim enim est nihil blanditiis qui optio fuga et est.,-1,5,2013-01-27 17:17:02.62,crea
1259,171,alumno,452,alumno,mencion,@sit,1254,5,2013-02-15 06:02:16.225,facebook
1260,0,docente,171,alumno,mencion,@eaque,1259,5,2013-01-28 10:33:21.102,facebook
1261,171,alumno,280,alumno,mensaje,Quasi dolorum fugit aut nulla voluptatibus asperiores tenetur dolores placeat facilis facilis reprehenderit magni eaque ipsam illo consequatur explicabo iusto odio.,-1,5,2013-03-22 15:50:17.717,crea
1262,58,alumno,0,docente,mensaje,Modi nostrum dolores totam soluta ut eaque qui placeat dignissimos et est occaecati autem eius omnis dolore quis omnis aut et.,1261,5,2013-02-22 01:19:59.632,crea
1263,542,alumno,343,alumno,comentario,Id voluptate perferendis sit dolore quis ut ea sed vero expedita sit ab voluptas voluptatibus illum.,1252,5,2013-05-24 21:05:51.849,crea
1264,486,alumno,0,docente,mensaje,Placeat beatae fugit necessitatibus pariatur ipsam quisquam ut occaecati et ea impedit ullam officiis ea voluptatem pariatur facere est cumque.,-1,5,2013-02-10 11:33:07.012,crea
1265,0,docente,542,alumno,mensaje,Sint tenetur sapiente et repudiandae cum culpa ut qui maiores et a consectetur sed occaecati voluptas molestiae alias laboriosam et accusamus.,1264,5,2013-05-09 23:11:23.406,crea
1266,496,alumno,616,alumno,reaccion,me_gusta,1250,5,2013-04-20 01:02:53.47,facebook
1267,496,alumno,59,alumno,comentario,Sapiente quaerat dolores qui rerum delectus vel repellat facilis et saepe a amet.,1255,5,2013-04-20 08:23:41.806,crea
1268,14,alumno,58,alumno,mensaje,Aliquid quibusdam vel provident neque assumenda suscipit nihil illo nemo amet dolorum vel qui et minima vero minima voluptate.,1265,5,2013-04-22 01:21:05.399,crea
1269,0,docente,0,docente,reaccion,me_encanta,1260,5,2013-05-21 23:26:30.407,facebook
1270,184,alumno,452,alumno,reaccion,me_encanta,1254,5,2013-05-31 11:46:06.393,facebook
1271,513,alumno,149,material,consulta,null,-1,5,2013-04-02 07:13:41.77,crea
1272,513,alumno,0,docente,comentario,Facere vel totam dolorem amet soluta modi ducimus ducimus est repellendus deleniti assumenda.,1269,5,2013-04-08 19:33:54.743,facebook
1273,59,alumno,162,material,consulta,null,-1,5,2013-05-21 17:15:48.391,crea
1274,58,alumno,171,alumno,comentario,Veniam necessitatibus ut ut alias fugiat alias minus nobis aut neque.,1259,5,2013-02-19 01:21:20.942,crea
1275,59,alumno,58,alumno,mencion,@sequi,1274,5,2013-03-05 02:47:31.094,facebook
1276,553,alumno,616,alumno,comentario,Asperiores suscipit porro consequuntur soluta et dolores et veritatis nulla.,1250,5,2013-01-20 06:26:33.879,facebook
1277,0,docente,-1,null,publicacion,Et sint provident hic voluptatum odit et quo iure enim sit hic rem deleniti nemo qui dolore.,-1,5,2013-03-21 05:43:31.635,facebook
1278,171,alumno,513,alumno,comentario,Aut cum blanditiis itaque sapiente voluptas maxime dolorem libero et ipsum.,1272,5,2013-01-25 16:12:28.151,facebook
1279,155,alumno,163,material,consulta,null,-1,5,2013-02-06 20:26:45.441,crea
1280,393,alumno,58,alumno,mencion,@voluptatem,1274,5,2013-02-16 18:34:19.646,facebook
1281,393,alumno,-1,null,publicacion,Omnis vero natus asperiores aperiam quia fugiat consequatur pariatur voluptas laudantium quis a fuga consequatur.,-1,5,2013-01-17 14:47:31.164,crea
1282,548,alumno,163,material,consulta,null,-1,5,2013-05-18 10:38:47.8,crea
1283,35,alumno,171,alumno,mencion,@voluptas,1259,5,2013-03-29 23:14:36.307,facebook
1284,53,alumno,-1,null,publicacion,Voluptatibus necessitatibus illo blanditiis ut asperiores qui dolor sit eum et nisi fugiat ducimus soluta totam rerum illo quis fuga.,-1,5,2013-05-09 06:25:09.115,facebook
1285,255,alumno,0,docente,comentario,Est eos eligendi est quo qui dolor dolor minima est debitis nesciunt delectus.,1260,5,2013-03-07 23:07:35.289,facebook
1286,393,alumno,-1,null,publicacion,At rerum pariatur quod assumenda asperiores veritatis asperiores ullam pariatur id nisi ad mollitia voluptate impedit fuga libero.,-1,5,2013-05-05 20:55:22.773,crea
1287,362,alumno,58,alumno,mensaje,Quaerat blanditiis dolorum dolores quae exercitationem distinctio ab asperiores omnis aut esse accusamus voluptatum voluptatem necessitatibus ipsum et sed.,-1,5,2013-02-07 06:11:46.645,crea
1288,84,alumno,480,alumno,comentario,Voluptas saepe officiis ea illum explicabo alias cumque et corrupti aperiam.,1258,5,2013-02-16 11:52:29.026,crea
1289,58,alumno,255,alumno,mencion,@rerum,1285,5,2013-03-31 04:46:28.619,facebook
1290,0,docente,452,alumno,mencion,@quidem,1254,5,2013-01-25 00:54:16.808,facebook
1291,452,alumno,152,material,consulta,null,-1,5,2013-04-04 02:27:25.41,crea
1292,162,alumno,343,alumno,mensaje,Repudiandae iusto nesciunt ut commodi enim atque sit sint temporibus et eaque culpa sequi sunt autem quisquam voluptatibus.,-1,5,2013-05-06 10:39:49.159,crea
1293,362,alumno,0,docente,comentario,Eaque corrupti reprehenderit praesentium sit et commodi minus sapiente natus odit laboriosam explicabo.,1269,5,2013-03-19 15:09:33.633,facebook
1294,0,docente,-1,null,publicacion,Aspernatur illo voluptas et laboriosam doloribus voluptatem rerum nihil minus facilis ut natus recusandae officiis voluptatum ipsa et quisquam.,-1,5,2013-01-25 02:40:24.929,facebook
1295,393,alumno,59,alumno,mensaje,Et quaerat nemo esse vitae consequuntur qui eum sequi nesciunt ut inventore ex ut ut in provident.,1287,5,2013-05-15 04:39:52.626,crea
1296,488,alumno,393,alumno,mencion,@pariatur,1281,5,2013-03-16 00:02:31.754,facebook
1297,14,alumno,58,alumno,comentario,Ab quas distinctio voluptates et atque quasi dicta sapiente et perferendis nesciunt.,1289,5,2013-01-25 23:44:38.189,facebook
1298,521,alumno,-1,null,publicacion,Sunt iure hic nulla consequatur eum aperiam rerum culpa error et quos voluptatem dolorem eius eaque error pariatur asperiores similique aperiam.,-1,5,2013-01-16 21:19:40.36,facebook
1299,280,alumno,53,alumno,reaccion,me_encanta,1284,5,2013-05-30 21:45:22.615,facebook
1300,521,alumno,343,alumno,mensaje,Voluptas illo nam nemo autem recusandae ut quo neque sed porro harum et quibusdam iure fugit cum et.,1292,5,2013-02-16 20:45:02.851,crea
1301,53,alumno,-1,null,publicacion,Ut atque sit et repudiandae rerum quaerat nobis libero dolorem natus fugit reprehenderit vel quae atque doloribus.,-1,5,2013-04-19 01:16:08.585,facebook
1302,553,alumno,35,alumno,comentario,Et corporis architecto numquam et quidem excepturi qui cupiditate libero et qui ab labore aut eveniet.,1283,5,2013-04-18 05:09:04.523,facebook
1303,0,docente,-1,null,publicacion,Nisi voluptatem ex dolor perferendis officia ut exercitationem nihil voluptatem sed ducimus odit dolore consectetur natus.,-1,5,2013-02-18 01:31:36.038,facebook
1304,0,docente,-1,null,publicacion,Ut qui autem commodi culpa cupiditate qui ab ut culpa facere voluptates et veritatis aut enim et amet.,-1,5,2013-02-13 08:15:28.938,facebook
1305,346,alumno,59,alumno,comentario,Dolorem reprehenderit quidem praesentium omnis earum ipsum quas delectus vel cupiditate.,1255,5,2013-05-16 12:19:20.218,facebook
1306,452,alumno,255,alumno,comentario,Accusantium perferendis ab aut in quasi ab quia omnis debitis deleniti soluta molestiae molestiae omnis quas.,1285,5,2013-03-14 23:02:15.941,facebook
1307,84,alumno,140,material,consulta,null,-1,5,2013-05-23 16:19:21.474,crea
1308,0,docente,0,docente,mencion,@quasi,1304,5,2013-03-14 09:10:00.092,facebook
1309,35,alumno,488,alumno,mensaje,Doloremque earum eveniet rerum ullam et est repudiandae sunt delectus earum cupiditate nisi quibusdam aperiam distinctio.,-1,5,2013-05-02 18:53:10.594,crea
1310,155,alumno,137,material,consulta,null,-1,5,2013-05-27 08:42:49.067,crea
1311,84,alumno,59,alumno,comentario,Laboriosam et quia quas eum rerum quo eum corporis tempora et.,1255,5,2013-01-30 01:23:10.269,facebook
1312,362,alumno,160,material,consulta,null,-1,5,2013-04-20 20:17:25.972,facebook
1313,346,alumno,0,docente,reaccion,me_enoja,1290,5,2013-05-05 13:26:30.828,facebook
1314,343,alumno,59,alumno,comentario,Dolorem deserunt explicabo perferendis totam consequatur ipsa aliquid vero amet a porro.,1275,5,2013-02-02 23:36:12.101,crea
1315,513,alumno,553,alumno,mensaje,Harum et velit repellat architecto sit deserunt repudiandae aut qui sit excepturi quia quae numquam dignissimos ea laboriosam.,1292,5,2013-04-22 13:21:07.241,crea
1316,553,alumno,553,alumno,mencion,@laudantium,1302,5,2013-03-12 18:17:42.933,facebook
1317,548,alumno,-1,null,publicacion,Ipsum quia in unde commodi nam qui inventore laudantium unde aperiam temporibus ipsam dolore voluptate amet minima et cumque.,-1,5,2013-02-21 02:41:31.08,facebook
1318,155,alumno,452,alumno,reaccion,me_entristece,1306,5,2013-01-21 09:17:33.974,facebook
1319,280,alumno,616,alumno,comentario,Nostrum dolores ipsum dignissimos rerum nesciunt error pariatur qui enim minus.,1250,5,2013-02-22 08:58:14.575,crea
1320,542,alumno,53,alumno,reaccion,me_enoja,1284,5,2013-04-01 00:32:04.339,facebook
1321,393,alumno,152,material,consulta,null,-1,5,2013-04-23 23:15:04.859,facebook
1322,521,alumno,-1,null,publicacion,Ut aspernatur quas corrupti alias velit occaecati et et quisquam ratione qui voluptatibus optio nulla omnis.,-1,5,2013-05-06 09:24:26.592,crea
1323,0,docente,162,alumno,mensaje,Enim velit dolores totam voluptatum omnis provident ipsa est magnam laudantium rerum et id dolores id deserunt ipsa omnis error.,1295,5,2013-02-14 16:41:48.797,crea
1324,548,alumno,155,alumno,comentario,Nobis quidem omnis rerum ad optio eius quis omnis non dolorum aut consequatur a dignissimos.,1318,5,2013-05-26 12:10:09.323,facebook
1325,84,alumno,184,alumno,reaccion,me_asombra,1270,5,2013-03-04 08:58:27.901,facebook
1326,84,alumno,280,alumno,mencion,@accusantium,1299,5,2013-01-25 18:29:12.662,facebook
1327,0,docente,-1,null,publicacion,Aliquam ratione commodi eum et exercitationem voluptates sunt voluptas et minus ut placeat alias aut sequi dignissimos voluptatibus.,-1,5,2013-04-04 12:53:21.086,crea
1328,480,alumno,84,alumno,comentario,Quis et pariatur illum perferendis ipsa sunt et aut quia sint ut sint velit autem.,1311,5,2013-03-13 02:04:00.348,crea
1329,486,alumno,0,docente,reaccion,me_gusta,1294,5,2013-05-07 23:22:37.513,facebook
1330,486,alumno,-1,null,publicacion,Quibusdam nemo veniam praesentium doloremque sit rem laborum animi sed tempora id excepturi quo non animi sapiente non.,-1,5,2013-05-22 04:56:25.407,crea
1331,480,alumno,0,docente,mencion,@itaque,1303,5,2013-02-26 19:43:38.804,facebook
1332,513,alumno,343,alumno,reaccion,me_divierte,1252,5,2013-03-22 23:23:33.134,facebook
